nr_albumu,nazwisko,imie,wiek,grupa
1,Beatriz,Anthony Gabriel,19,2
2,Paula,Jacob,23,3
3,Mia,Isaac,22,4
4,María,Isaac,20,4
5,Melania,Hector,25,1
6,Danae,Tonino,24,3
7,Charlotte,Nazario,19,4
8,Amelia,Lotario,23,1
9,Gabrielly,Logan,22,2
10,Ophelia,Franco,24,2
11,Jade,Luciano,21,1
12,Evelyn,Ravi,19,1
13,Ophelia,Mario,24,3
14,Soledad,Ryan,22,1
15,Soraya,Easton,20,3
16,Catalina,Mariano,21,1
17,Ayla,Pasqual,24,4
18,Antonella,Mathias,19,3
19,Clara,Alex,21,2
20,Emma,Alan,21,4
21,Ana Alice,Raul,25,4
22,Maya,Amaro,20,1
23,Heloísa,Matías,22,3
24,Martina,Jorge,20,3
25,Angela,Fernando,25,2
26,Malú,Alejandro,24,3
27,Juana,Xavier,22,1
28,Ana Cecília,Harrison,20,2
29,Helena Vitória,Martín,25,4
30,Aline,Pablo,24,2
31,Catalina,Rodrigo,21,2
32,Ignacia,Wyatt,20,2
33,Xóchitl,Santiago,24,4
34,Paola,Davi Henrique,24,4
35,Mercedes,Bennett,20,2
36,Bárbara,Enzo Gabriel,22,1
37,Yazmin,Antonio,20,1
38,Abigail,Matthew,24,4
39,Ema,Pascual,21,3
40,Nazaret,José,19,2
41,Ava,Bennett,21,1
42,Emily,Samuel,20,3
43,Hilda,Zachary,23,2
44,Elisa,Mariano,24,3
45,Carmelita,Matteo,20,4
46,Pietra,Rafael,22,1
47,Safira,Elbio,23,4
48,Clarice,Flavio,23,4
49,Ashley,Davi Henrique,22,2
50,Julia,Pascual,24,3
51,Milagros,Jackson,19,1
52,Millaray,Augusto,24,1
53,Millaray,Damián,25,3
54,Angela,Gabriel,23,3
55,Isabelle,Jordan,20,4
56,Pietra,Nahuel,23,3
57,Heloísa Vitória,Christian,21,4
58,Eleanor,Nazario,24,3
59,Josefa,Salvador,20,2
60,Pascale,Theodoro,21,2
61,Sienna,Vitor Gabriel,21,2
62,Fernanda,Connor,23,2
63,Abigail,José,22,3
64,Raquel,Ian,24,3
65,Piper,Rodrigo,20,4
66,Margarita,Marcos,20,4
67,Belén,Arabia,24,2
68,Yanet,William,23,2
69,Noemí,Alejandro,23,3
70,Leah,Ramiro,25,4
71,Elisa,Hayden,24,3
72,Lívia,Arthur,24,4
73,Melissa,Damián,23,3
74,Isis,William,24,1
75,Madelyn,Davi Henrique,23,2
76,Javiera,Silvestre,21,2
77,Alice,Ernesto,22,3
78,Renata,Tomás,21,2
79,Ana,Jesús,24,4
80,Clara,Theo,22,2
81,Matilda,Benjamin,22,2
82,Brooklyn,Luca,25,4
83,Lia,Alexis,22,3
84,Esperanza,Eli,24,3
85,Gloria,Rodrigo,23,2
86,Julieta,Ernesto,22,3
87,Daniela,Thomas,25,3
88,Xóchitl,Luke,19,2
89,Harper,Liberto,23,3
90,Stella,Murilo,22,2
91,Brielle,Gustavo Henrique,21,2
92,Constanza,Andrés,19,1
93,Carolina,Nathan,23,3
94,Audrey,Aaron,22,4
95,Maria Beatriz,Cayetano,19,4
96,Ana Laura,Otto,23,2
97,Alison,Nacho,23,3
98,Liliana,Tomás,25,1
99,Elizabeth,Jimeno,23,2
